S.N.,longitude,latitude,dist_to_trunk_roads,dist_to_primary_roads_and_above,dist_to_secondary_roads_and_above,dist_to_tertiary_roads_and_above,dist_to_all_roads
41,81.23891,28.54652,7286.3732780425335,7286.3732780425335,7286.3732780425335,492.4314525881778,492.4314525881778
42,81.29184,28.50719,3191.77487108925,3191.77487108925,3191.77487108925,3191.77487108925,3191.77487108925
43,81.23505,28.523,8632.0605525079,8632.0605525079,8632.0605525079,708.9800844040028,708.9800844040028
44,81.55267,28.43612,14554.83675787462,12198.350878497251,14554.83675787462,8466.607003907451,5552.789018828713
45,81.23204,28.45971,8522.625186098447,8522.625186098447,8522.625186098447,1827.3165807158482,0.1606652963836676
46,81.37456,28.57199,5965.0105607583855,5965.0105607583855,5965.0105607583855,5965.0105607583855,5965.0105607583855
47,81.33911,28.55125,1891.4739158614957,1891.4739158614957,1891.4739158614957,1891.4739158614957,1891.4739158614957
48,81.36892,28.55912,4854.811684687818,4854.811684687818,4854.811684687818,4854.811684687818,4854.811684687818
49,81.30743,28.50457,1635.4602542174143,1635.4602542174143,1635.4602542174143,1635.4602542174143,1635.4602542174143
50,81.24962,28.58722,3470.297338706094,3470.297338706094,3470.297338706094,2116.1616038304965,2116.1616038304965
51,81.66067,28.29913,10850.98123141307,559.9514654820688,10850.98123141307,1964.0858065084706,1964.0858065084706
52,81.35274,28.42814,230.26615894460195,230.26615894460195,230.26615894460195,230.26615894460195,230.26615894460195
53,81.34595,28.44234,1327.0688124459568,1327.0688124459568,1327.0688124459568,1327.0688124459568,611.4671660921315
54,81.86801,28.13663,12.59965988423094,12.59965988423094,12.59965988423094,12.59965988423094,12.59965988423094
55,81.89426,28.15081,1856.039063540707,1856.039063540707,1856.039063540707,40.747539825927326,40.747539825927326
56,81.90338,28.14937,2247.035166764198,2247.035166764198,2247.035166764198,445.44102301101225,445.44102301101225
57,81.92873,28.14605,4150.883318705714,4150.883318705714,4150.883318705714,2742.967458698835,2742.967458698835
58,80.23865,28.8639,9118.9761199222,9118.9761199222,9118.9761199222,9118.9761199222,3932.4254993987265
59,80.17494,28.91908,5718.60384400866,5718.60384400866,5718.60384400866,5718.60384400866,2523.3254481843474
60,80.20524,28.8849,8255.477770847103,8255.477770847103,8255.477770847103,8255.477770847103,4319.879408874929
61,80.21956,28.81829,14518.162794459056,14518.162794459056,9287.215635170835,10496.29648626037,6.769590867154096
62,80.20658,28.78489,18439.978085567196,18439.978085567196,8125.554078390583,7837.021023756911,1267.6593433010123
63,81.22355,28.49152,9323.753468462788,9323.753468462788,9323.753468462788,1441.8073143963168,1441.8073143963168
64,81.11792,28.37698,21750.600549166844,18108.88303161943,3602.376043269351,724.6393478998752,724.6393478998752
65,81.67321,28.28714,9455.594973585068,1040.50502896305,9455.594973585068,289.332713809404,289.332713809404
66,81.6738,28.27543,8154.292992151323,1138.9410729589958,8154.292992151323,14.839524438920412,14.839524438920412
67,81.68245,28.27822,8505.559339786645,1975.2439666870514,8505.559339786645,0.3514562409297988,0.3514562409297988
68,81.70679,28.25819,6500.645410770106,3082.561162851797,6500.645410770106,1721.4282931861171,1721.4282931861171
69,81.71948,28.25211,5956.639323903188,4331.400988514916,5956.639323903188,2599.926179567207,2599.926179567207
70,81.72508,28.27127,8154.603478774393,5148.629248341174,8154.603478774393,3779.98980003602,3779.98980003602
71,81.72556,28.24339,5189.206763421931,4933.605790898146,5189.206763421931,1509.8619720552833,1509.8619720552833
72,81.73867,28.2487,6269.393192508047,6241.902442224365,6269.393192508047,1069.0089408128408,1069.0089408128408
73,81.73065,28.23651,4701.703706308249,4701.703706308249,4701.703706308249,648.6184570534317,648.6184570534317
74,81.73859,28.22589,4144.685507955064,4144.685507955064,4144.685507955064,751.448659496678,751.448659496678
75,81.74306,28.21924,3730.502801411355,3730.502801411355,3730.502801411355,1606.1864710279108,1606.1864710279108
76,81.76382,28.20551,3980.19876062358,3980.19876062358,3980.19876062358,2681.5677051257626,2631.0889706724292
